size, time[us]
size, time[us]
5,    43
5,    29
5,    97
5,    43
5,    45
5,    43
5,    30
5,    29
5,    29
5,    28
5,    49
5,    43
5,    40
5,    37
5,    32
5,    44
5,    45
5,    102
5,    30
5,    35
5,    32
5,    45
5,    45
5,    41
5,    45
5,    178
5,    46
5,    42
5,    44
5,    42
5,    35
5,    40
5,    62
5,    33
5,    27
5,    27
5,    29
5,    28
5,    26
5,    32
5,    212
5,    30
5,    29
5,    29
5,    29
5,    30
5,    29
5,    34
5,    49
5,    29
5,    28
5,    29
5,    42
5,    43
5,    38
5,    163
5,    46
5,    40
5,    44
5,    45
5,    38
5,    41
5,    45
5,    105
5,    37
5,    40
5,    39
5,    44
5,    43
5,    43
5,    43
5,    46
5,    44
5,    49
5,    30
5,    28
5,    28
5,    28
5,    31
5,    53
5,    27
5,    29
5,    41
5,    41
5,    38
5,    37
5,    43
5,    36
5,    42
5,    39
5,    39
5,    43
5,    43
5,    71
5,    119
5,    42
5,    40
5,    45
5,    29
5,    22
6,    23
6,    21
6,    23
6,    22
6,    21
6,    29
6,    35
6,    18
6,    27
6,    34
6,    59
6,    29
6,    30
6,    29
6,    28
6,    24
6,    24
6,    21
6,    19
6,    23
6,    21
6,    21
6,    21
6,    27
6,    19
6,    82
6,    31
6,    28
6,    19
6,    18
6,    24
6,    27
6,    29
6,    31
6,    28
6,    26
6,    24
6,    20
6,    19
6,    19
6,    20
6,    18
6,    23
6,    25
6,    30
6,    19
6,    19
6,    20
6,    18
6,    18
6,    19
6,    21
6,    20
6,    26
6,    20
6,    19
6,    19
6,    71
6,    23
6,    20
6,    24
6,    25
6,    22
6,    18
6,    26
6,    18
6,    22
6,    19
6,    24
6,    20
6,    19
6,    19
6,    17
6,    18
6,    17
6,    19
6,    20
6,    21
6,    42
6,    18
6,    18
6,    18
6,    21
6,    17
6,    19
6,    20
6,    18
6,    18
6,    78
6,    26
6,    20
6,    19
6,    27
6,    28
6,    27
6,    26
6,    21
6,    20
6,    27
6,    30
7,    93
7,    194
7,    97
7,    60
7,    56
7,    61
7,    61
7,    82
7,    94
7,    92
7,    188
7,    94
7,    57
7,    56
7,    80
7,    60
7,    59
7,    55
7,    160
7,    60
7,    65
7,    58
7,    67
7,    56
7,    59
7,    61
7,    209
7,    56
7,    55
7,    56
7,    57
7,    55
7,    56
7,    85
7,    197
7,    65
7,    56
7,    82
7,    57
7,    56
7,    95
7,    64
7,    141
7,    78
7,    81
7,    67
7,    57
7,    65
7,    56
7,    89
7,    64
7,    108
7,    59
7,    58
7,    58
7,    90
7,    57
7,    171
7,    129
7,    149
7,    57
7,    56
7,    62
7,    63
7,    55
7,    56
7,    60
7,    219
7,    57
7,    56
7,    57
7,    65
7,    56
7,    78
7,    88
7,    85
7,    89
7,    93
7,    75
7,    55
7,    56
7,    56
7,    56
7,    201
7,    145
7,    95
7,    60
7,    72
7,    67
7,    56
7,    66
7,    55
7,    63
7,    56
7,    80
7,    92
7,    82
7,    92
7,    73
7,    61
8,    1337
8,    358
8,    465
8,    275
8,    277
8,    285
8,    294
8,    290
8,    293
8,    268
8,    274
8,    284
8,    271
8,    271
8,    291
8,    289
8,    804
8,    371
8,    272
8,    284
8,    275
8,    268
8,    270
8,    275
8,    269
8,    274
8,    290
8,    271
8,    268
8,    281
8,    268
8,    275
8,    285
8,    1032
8,    283
8,    274
8,    279
8,    279
8,    272
8,    276
8,    498
8,    653
8,    343
8,    285
8,    270
8,    284
8,    282
8,    279
8,    284
8,    288
8,    270
8,    270
8,    303
8,    314
8,    278
8,    284
8,    281
8,    276
8,    284
8,    272
8,    273
8,    279
8,    276
8,    267
8,    297
8,    287
8,    327
8,    647
8,    278
8,    281
8,    273
8,    292
8,    267
8,    296
8,    276
8,    275
8,    305
8,    270
8,    290
8,    282
8,    281
8,    295
8,    302
8,    274
8,    259
8,    271
8,    269
8,    274
8,    277
8,    280
8,    278
8,    276
8,    283
8,    301
8,    270
8,    279
8,    298
8,    278
8,    409
8,    291
9,    3745
9,    1812
9,    1752
9,    1853
9,    1960
9,    1753
9,    1749
9,    1774
9,    1946
9,    1768
9,    1908
9,    1978
9,    1757
9,    1778
9,    1782
9,    1801
9,    1743
9,    1765
9,    1757
9,    945
9,    931
9,    945
9,    920
9,    934
9,    941
9,    953
9,    931
9,    946
9,    950
9,    944
9,    1025
9,    930
9,    964
9,    2123
9,    1454
9,    1057
9,    942
9,    294
9,    318
9,    296
9,    295
9,    294
9,    277
9,    277
9,    285
9,    287
9,    282
9,    291
9,    289
9,    277
9,    300
9,    288
9,    287
9,    277
9,    291
9,    278
9,    280
9,    1056
9,    1021
9,    1077
9,    1041
9,    1061
9,    1036
9,    1018
9,    1115
9,    1070
9,    1213
9,    4475
9,    1189
9,    1014
9,    1011
9,    1082
9,    1092
9,    1015
9,    999
9,    484
9,    469
9,    459
9,    460
9,    470
9,    473
9,    456
9,    473
9,    476
9,    460
9,    473
9,    453
9,    463
9,    469
9,    455
9,    510
9,    477
9,    451
9,    470
9,    1054
9,    1042
9,    1105
9,    1044
9,    1056
9,    1071
10,    21550
10,    8730
10,    2217
10,    2197
10,    2961
10,    4410
10,    692
10,    698
10,    2536
10,    5620
10,    15964
10,    11293
10,    1143
10,    1153
10,    3529
10,    3563
10,    3563
10,    1478
10,    1458
10,    1861
10,    1869
10,    1080
10,    1092
10,    6001
10,    5947
10,    3252
10,    3248
10,    7293
10,    8124
10,    5423
10,    5527
10,    6600
10,    6631
10,    3963
10,    4172
10,    4017
10,    2740
10,    4159
10,    2797
10,    2415
10,    1964
10,    3896
10,    6768
10,    6798
10,    1032
10,    2549
10,    3600
10,    3799
10,    3099
10,    3121
10,    3120
10,    2132
10,    2465
10,    2437
10,    3938
10,    7992
10,    1417
10,    1445
10,    4381
10,    4352
10,    1342
10,    1337
10,    5479
10,    5515
10,    5526
10,    951
10,    968
10,    828
10,    1576
10,    6864
10,    6396
10,    1375
10,    1384
10,    3390
10,    3379
10,    1613
10,    1606
10,    5250
10,    5305
10,    5301
10,    4977
10,    4975
10,    2965
10,    2989
10,    1633
10,    1640
10,    3346
10,    3346
10,    4388
10,    4628
10,    1751
10,    1646
10,    1648
10,    9623
10,    9555
10,    3360
10,    2887
10,    4627
10,    4537
10,    1880
11,    5363
11,    2343
11,    30752
11,    11424
11,    12355
11,    4349
11,    27538
11,    6299
11,    12567
11,    14630
11,    11194
11,    9511
size, time[us]
5,    13
5,    10
5,    20
5,    12
5,    12
5,    6
5,    6
5,    5
5,    5
5,    6
5,    9
5,    4
5,    4
5,    8
5,    6
5,    6
5,    5
5,    15
5,    5
5,    4
5,    5
5,    4
5,    8
5,    9
5,    14
5,    26
5,    9
5,    9
5,    8
5,    7
5,    7
5,    8
5,    21
5,    11
5,    9
5,    7
5,    7
5,    7
5,    10
5,    11
5,    31
5,    10
5,    10
5,    10
5,    8
5,    7
5,    8
5,    8
5,    12
5,    8
5,    7
5,    9
5,    6
5,    5
5,    5
5,    20
5,    7
5,    5
5,    5
5,    5
5,    10
5,    8
5,    7
5,    18
5,    7
5,    9
5,    7
5,    5
5,    5
5,    6
5,    5
5,    6
5,    5
5,    6
5,    6
5,    5
5,    5
5,    5
5,    7
5,    11
5,    5
5,    9
5,    19
5,    8
5,    7
5,    6
5,    5
5,    5
5,    7
5,    9
5,    7
5,    6
5,    5
5,    5
5,    18
5,    5
5,    5
5,    5
5,    5
5,    5
6,    38
6,    48
6,    49
6,    36
6,    34
6,    37
6,    34
6,    32
6,    36
6,    88
6,    40
6,    36
6,    33
6,    35
6,    34
6,    36
6,    33
6,    31
6,    34
6,    50
6,    94
6,    38
6,    36
6,    37
6,    37
6,    156
6,    38
6,    37
6,    34
6,    33
6,    50
6,    38
6,    37
6,    40
6,    36
6,    34
6,    34
6,    37
6,    36
6,    40
6,    38
6,    36
6,    34
6,    44
6,    39
6,    34
6,    38
6,    39
6,    59
6,    39
6,    38
6,    37
